,CANTON,EDAD,ES_URBANO,SEXO,ES_DEPENDIENTE,ESTADO_VIVIENDA,E.HACINAMIENTO,ALFABETIZACION,ESCOLARIDAD_PROMEDIO,ASISTENCIA_EDUCACION,FUERZA_DE_TRABAJO,SEGURO,N.EXTRANJERO,C.DISCAPACIDAD,POBLACION_TOTAL,SUPERFICIE,DENSIDAD_POBLACION,VIVIENDAS_INDIVIDUALES_OCUPADAS,PROMEDIO_DE_OCUPANTES,P.JEFAT.FEMENINA,P.JEFAT.COMPARTIDA,VOTO_R1,VOTO_R2,ES_ENTRENAMIENTO,PREDICCION_R1,PREDICCION_R2,PREDICCION_R2_CON_R1
0,MORA,50,1,1,0,0,0,0,5.3,0,1,0,0,0,26294,162.0,162,7782,3.38,28.7,10.1,INTEGRACION NACIONAL,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
1,HEREDIA,25,1,1,0,1,0,1,13.2,0,0,0,0,0,123616,282.6,437,35216,3.5,34.9,9.2,RESTAURACION NACIONAL,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
2,PUNTARENAS,56,1,1,0,1,0,0,4.4,0,0,0,0,0,115019,1842.3,62,33228,3.44,29.9,4.8,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
3,MORAVIA,26,1,1,0,1,0,1,11.7,0,0,0,0,1,56919,28.6,1989,16874,3.36,33.9,8.3,ACCION CIUDADANA,RESTAURACION NACIONAL,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
4,MORAVIA,45,1,1,0,0,0,1,12.7,0,1,0,0,0,56919,28.6,1989,16874,3.36,33.9,8.3,LIBERACION NACIONAL,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
5,PURISCAL,47,0,1,0,1,0,1,7.2,1,0,0,0,0,33004,553.7,60,9787,3.36,28.2,6.9,LIBERACION NACIONAL,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
6,POCOCI,45,1,0,0,1,0,1,6.6,0,0,0,1,0,125962,2403.5,52,36238,3.46,26.5,6.3,RESTAURACION NACIONAL,RESTAURACION NACIONAL,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
7,SAN JOSE,31,1,0,0,1,0,1,10.3,0,0,0,0,0,288054,44.6,6456,81903,3.5,39.6,6.9,RESTAURACION NACIONAL,RESTAURACION NACIONAL,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
8,PUNTARENAS,36,1,0,0,1,0,1,7.3,0,0,0,0,0,115019,1842.3,62,33228,3.44,29.9,4.8,LIBERACION NACIONAL,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
9,SAN JOSE,43,1,0,0,1,0,1,9.3,0,0,1,0,0,288054,44.6,6456,81903,3.5,39.6,6.9,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
